id,name,slug,parent_id
07dbf9d2-24d2-48ce-a442-e4fd6bb9faf9,Thời trang nam,thoi-trang-nam-cat.07dbf9d2,
2dd8792a-30bf-4ea6-a246-5209d480ba60,Áo khoác,ao-khoac-cat.07dbf9d2.2dd8792a,07dbf9d2-24d2-48ce-a442-e4fd6bb9faf9
7da903ae-e7fe-4c96-8b9b-1979533c4545,Áo khoác mùa đông,ao-khoac-mua-ong-cat.07dbf9d2.2dd8792a.7da903ae,2dd8792a-30bf-4ea6-a246-5209d480ba60
6dfcc009-2e26-4692-a02e-08505c61c507,Thời Trang Nữ,thoi-trang-nu-cat.6dfcc009,
5f978a5a-fdac-44cc-bac3-d3aa46037d10,Quần,quan-cat.6dfcc009.5f978a5a,6dfcc009-2e26-4692-a02e-08505c61c507
1cb591be-6719-4e9f-8504-30093fb0773f,Áo Vest,ao-vest-cat.6dfcc009.1cb591be,6dfcc009-2e26-4692-a02e-08505c61c507
e2fd0523-b9d8-4a4f-9ad0-0ba2fa7939c5,Váy cưới,vay-cuoi-cat.6dfcc009.e2fd0523,6dfcc009-2e26-4692-a02e-08505c61c507
60ea9892-74c5-417f-8559-d4f87dd69edc,Điện thoại && Phụ kiện,ien-thoai-phu-kien-cat.60ea9892,
49bbae5e-86c7-4cf4-aeed-e3674278bc08,Thời trang trẻ em,thoi-trang-tre-em-cat.49bbae5e,
2604b124-676a-44ee-9da1-d871936819a7,Thiết bị gia dụng,thiet-bi-gia-dung-cat.2604b124,
db9e7b65-122a-41a4-9cdc-894b676efbe1,Computer && Laptop,computer-laptop-cat.db9e7b65,
06c6e633-68f3-4868-9177-00bfedfc4655,Áo thun,ao-thun-cat.07dbf9d2.06c6e633,07dbf9d2-24d2-48ce-a442-e4fd6bb9faf9
